player_id,player_name
10336,J. McLeod
9220,M. Kawamura
3674,M. Millar
5095,N. Schietekat
1499,R. Sterne
8889,Z. Dou
7082,W. Kim
1612,B. Hurley
3452,D. Summerhays
6965,J. Boros
4585569,M. Williams
10357,A. Albertson
3322,A. Prugh
3446,B. Schnell
1646,C. Collins
10442,C. Danielson
3279,C. Thompson
7039,C. Wright
5567,J. Chin
10050,K. Jones
6999,N. Lindheim
5506,S. Langley
387,S. Scott
2053,W. Claxton
5140,T. Olesen
9469,A. Bjork
6041,A. Levy
3577,D. Fathauer
4010,M. Piller
3295,T. Van Aswegen
4712,Y. Ikeda
9379,A. Truslow
1933,K. Blanks
4924,B. Dwyer
9607,C. Brischke
6173,N. Mauchaza
6773,L. Houtteman
3384,M. Harmon
5560,W. Homan
10030,Z. Bauchou
215,T. Immelman
6062,B. Barber
1637,M. Flores
11,S. Appleby
1170,S. Marino
5578,J. Randolph
1112,S. Bowditch
328,G. Ogilvy
5209,W. Liang
